#type	etaMin	etaMax	r9Min	r9Max	gain	etMin	etMax
scale	0.	1.	-1	-1	-1	0	35	
scale	0.	1.	-1	-1	-1	35	40
scale	0.	1.	-1	-1	-1	40	43
scale	0.	1.	-1	-1	-1	43	45
scale	0.	1.	-1	-1	-1	45	47
scale	0.	1.	-1	-1	-1	47	50
scale	0.	1.	-1	-1	-1	50	53
scale	0.	1.	-1	-1	-1	53	55
scale	0.	1.	-1	-1	-1	55	65
scale	0.	1.	-1	-1	-1	65	100
scale	0.	1.	-1	-1	-1	100	1000
scale	1.	1.2	-1	-1	-1	0	40
scale	1.	1.2	-1	-1	-1	40	50
scale	1.	1.2	-1	-1	-1	50	60
scale	1.	1.2	-1	-1	-1	60	100
scale	1.	1.2	-1	-1	-1	100	1000
scale	1.2	1.4442	-1	-1	-1	0	43
scale	1.2	1.4442	-1	-1	-1	43	53
scale	1.2	1.4442	-1	-1	-1	53	65
scale	1.2	1.4442	-1	-1	-1	65	100
scale	1.2	1.4442	-1	-1	-1	100	1000
smear	0.	1.	-1	-1	-1	-1	-1
smear	1.	1.2	-1	-1	-1	-1	-1
smear	1.2	1.4442	-1	-1	-1	-1	-1
smear	1.566	2.	-1	-1	-1	-1	-1
smear	2.	2.5	-1	-1	-1	-1	-1
